mc	mn	mc_onset	mn_onset	timesig	staff	voice	volta	label	alt_label	globalkey	localkey	pedal	chord	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	1	0	0	4/4	3	1		d.i		d	i		i	i							m	1	1	0, -3, 1		0	0
3	3	0	0	4/4	3	1		V6		d	i		V6	V		6					M	1	1	5, 2, 1		1	5
3	3	1/2	1/2	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
4	4	0	0	4/4	3	1		IV6		d	i		IV6	IV		6					M	1	1	3, 0, -1		-1	3
4	4	1/2	1/2	4/4	3	1		iv6		d	i		iv6	iv		6					m	1	1	-4, 0, -1		-1	-4
5	5	0	0	4/4	3	1		V	v	d	i		V	V							M	1	1	1, 5, 2		1	1
5	5	3/4	3/4	4/4	3	1		i		d	i		i	i							m	1	1	0, -3, 1		0	0
6	6	0	0	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
6	6	1/2	1/2	4/4	3	1		v6		d	i		v6	v		6					m	1	1	-2, 2, 1		1	-2
7	7	0	0	4/4	3	1		V/v		d	i		V/v	V				v			M	1	1	2, 6, 3		2	2
7	7	1/4	1/4	4/4	3	1		V64/v		d	i		V64/v	V		64		v			M	1	1	3, 2, 6		2	3
7	7	1/2	1/2	4/4	3	1		ii64		d	i		ii64	ii		64					m	1	1	3, 2, -1		2	3
7	7	3/4	3/4	4/4	3	1		#viio		d	i		#viio	#vii	o						o	1	1	5, 2, -1		5	5
8	8	0	0	4/4	3	1		I		d	i		I	I							M	1	1	0, 4, 1		0	0
8	8	1/4	1/4	4/4	3	1		I64		d	i		I64	I		64					M	1	1	1, 0, 4		0	1
8	8	1/2	1/2	4/4	3	1		i64		d	i		i64	i		64					m	1	1	1, 0, -3		0	1
8	8	3/4	3/4	4/4	3	1		viio/VII		d	i		viio/VII	vii	o			VII			o	1	1	3, 0, -3		3	3
9	9	0	0	4/4	3	1		VII		d	i		VII	VII							M	1	1	-2, 2, -1		-2	-2
9	9	1/4	1/4	4/4	3	1		v		d	i		v	v							m	1	1	1, -2, 2		1	1
