mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	volta	chord_id
1	1	0	0	4/4	2	1	1	1	1		2	62		0
2	2	0	0	4/4	2	1	1/2	1/2	1		2	62		1
2	2	1/2	1/2	4/4	2	1	1/2	1/2	1		2	62		2
3	3	0	0	4/4	2	1	1/2	1/2	1		7	61		3
3	3	1/2	1/2	4/4	2	1	1/2	1/2	1		0	60		4
4	4	0	0	4/4	2	1	1/2	1/2	1		5	59		5
4	4	1/2	1/2	4/4	2	1	1/2	1/2	1		-2	58		6
5	5	0	0	4/4	2	1	1/2	1/2	1		3	57		8
5	5	0	0	4/4	1	2	1	1	1		3	69		7
5	5	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62		9
6	6	0	0	4/4	2	1	1/4	1/4	1		3	57		12
6	6	0	0	4/4	1	2	1/2	1/2	1		3	69		10
6	6	1/4	1/4	4/4	2	1	1/4	1/4	1		5	59		13
6	6	1/2	1/2	4/4	2	1	1/4	1/4	1		0	60		14
6	6	1/2	1/2	4/4	1	2	1/2	1/2	1		3	69		11
6	6	3/4	3/4	4/4	2	1	1/4	1/4	1		2	62		15
7	7	0	0	4/4	2	1	1/4	1/4	1		4	64		18
7	7	0	0	4/4	1	2	1/2	1/2	1		8	68		16
7	7	1/4	1/4	4/4	2	1	1/2	1/2	1		5	59		19
7	7	1/2	1/2	4/4	1	2	1/2	1/2	1		1	67		17
7	7	3/4	3/4	4/4	2	1	1/4	1/4	1		7	61		20
8	8	0	0	4/4	2	1	1/4	1/4	1		2	62		23
8	8	0	0	4/4	1	2	1/2	1/2	1		6	66		21
8	8	1/4	1/4	4/4	2	1	1/2	1/2	1		3	57		24
8	8	1/2	1/2	4/4	1	2	1/2	1/2	1		-1	65		22
8	8	3/4	3/4	4/4	2	1	1/4	1/4	1		5	59		25
9	9	0	0	4/4	2	1	1/16	1/16	1		0	60		28
9	9	0	0	4/4	1	2	1/2	1/2	1		4	64		26
9	9	1/16	1/16	4/4	2	1	1/16	1/16	1		5	59		29
9	9	1/8	1/8	4/4	2	1	1/16	1/16	1		3	57		30
9	9	3/16	3/16	4/4	2	1	1/16	1/16	1		5	59		31
9	9	1/4	1/4	4/4	2	1	1/16	1/16	1		0	60		32
9	9	5/16	5/16	4/4	2	1	1/16	1/16	1		3	57		33
9	9	3/8	3/8	4/4	2	1	1/16	1/16	1		5	59		34
9	9	7/16	7/16	4/4	2	1	1/16	1/16	1		1	55		35
9	9	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50		44
9	9	1/2	1/2	4/4	2	1	1/16	1/16	1		3	57		36
9	9	9/16	9/16	4/4	2	1	1/16	1/16	1		1	55		37
9	9	5/8	5/8	4/4	2	1	1/16	1/16	1		-1	53		38
9	9	11/16	11/16	4/4	2	1	1/16	1/16	1		1	55		39
9	9	3/4	3/4	4/4	2	1	1/16	1/16	1		3	57		40
9	9	3/4	3/4	4/4	1	2	1/4	1/4	1		3	69		27
9	9	13/16	13/16	4/4	2	1	1/16	1/16	1		-1	53		41
9	9	7/8	7/8	4/4	2	1	1/16	1/16	1		1	55		42
9	9	15/16	15/16	4/4	2	1	1/16	1/16	1		4	52		43
10	10	0	0	4/4	3	1	1/2	1/2	1		2	50		54
10	10	0	0	4/4	2	1	1/4	1/4	1		-1	53		49
10	10	0	0	4/4	1	2	1/4	1/4	1		2	62		45
10	10	1/4	1/4	4/4	2	1	1/4	1/4	1		1	55		50
10	10	1/4	1/4	4/4	1	2	1/4	1/4	1		4	64		46
10	10	1/2	1/2	4/4	3	1	1/2	1/2	1		2	50		55
10	10	1/2	1/2	4/4	2	1	1/4	1/4	1		3	57		51
10	10	1/2	1/2	4/4	1	2	1/4	1/4	1		-1	65		47
10	10	3/4	3/4	4/4	2	1	1/8	1/8	1		1	55		52
10	10	3/4	3/4	4/4	1	2	1/4	1/4	1		1	67		48
10	10	7/8	7/8	4/4	2	1	1/8	1/8	1		-1	53		53
11	11	0	0	4/4	3	1	1/2	1/2	1		7	49		63
11	11	0	0	4/4	2	1	3/8	1/4	3/2		4	52		59
11	11	0	0	4/4	1	2	1/4	1/4	1		3	69		56
11	11	1/4	1/4	4/4	1	2	1/2	1/2	1		4	64		57
11	11	3/8	3/8	4/4	2	1	1/8	1/8	1		6	54		60
11	11	1/2	1/2	4/4	3	1	1/2	1/2	1		0	48		64
11	11	1/2	1/2	4/4	2	1	1/4	1/4	1		1	55		61
11	11	3/4	3/4	4/4	2	1	1/4	1/4	1		3	57		62
11	11	3/4	3/4	4/4	1	2	1/4	1/4	1		6	66		58
12	12	0	0	4/4	3	1	1/2	1/2	1		5	47		72
12	12	0	0	4/4	2	1	3/8	1/4	3/2		2	50		68
